threshold,avg_time_ms,positive_right,positive_wrong,negative_right,negative_wrong
0.1,49.43593406677246,500,0,921,79
0.15,49.43593406677246,500,0,987,13
0.16,49.43593406677246,500,0,991,9
0.17,49.43593406677246,500,0,992,8
0.18,49.43593406677246,500,0,995,5
0.19,49.43593406677246,500,0,996,4
0.2,49.43593406677246,500,0,996,4
0.21,49.43593406677246,500,0,997,3
0.22,49.43593406677246,500,0,997,3
0.23,49.43593406677246,500,0,999,1
0.24,49.43593406677246,500,0,999,1
0.25,49.43593406677246,500,0,999,1
0.26,49.43593406677246,500,0,999,1
0.27,49.43593406677246,500,0,999,1
0.28,49.43593406677246,499,1,999,1
0.29,49.43593406677246,499,1,999,1
0.3,49.43593406677246,498,2,999,1
0.4,49.43593406677246,463,37,1000,0
