threshold,avg_time_ms,positive_right,positive_wrong,negative_right,negative_wrong
0.1,57.3634459177653,500,0,897,103
0.15,57.3634459177653,500,0,965,35
0.16,57.3634459177653,500,0,972,28
0.17,57.3634459177653,500,0,977,23
0.18,57.3634459177653,500,0,983,17
0.19,57.3634459177653,500,0,989,11
0.2,57.3634459177653,500,0,991,9
0.21,57.3634459177653,500,0,993,7
0.22,57.3634459177653,500,0,995,5
0.23,57.3634459177653,499,1,998,2
0.24,57.3634459177653,499,1,999,1
0.25,57.3634459177653,499,1,999,1
0.26,57.3634459177653,499,1,999,1
0.27,57.3634459177653,499,1,999,1
0.28,57.3634459177653,498,2,999,1
0.29,57.3634459177653,498,2,999,1
0.3,57.3634459177653,496,4,1000,0
0.4,57.3634459177653,449,51,1000,0
