threshold,avg_time_ms,positive_right,positive_wrong,negative_right,negative_wrong
0.1,47.38659576574961,1997,3,3761,239
0.15,47.38659576574961,1994,6,3959,41
0.16,47.38659576574961,1993,7,3975,25
0.17,47.38659576574961,1991,9,3984,16
0.18,47.38659576574961,1988,12,3989,11
0.19,47.38659576574961,1987,13,3990,10
0.2,47.38659576574961,1984,16,3996,4
0.21,47.38659576574961,1982,18,3998,2
0.22,47.38659576574961,1977,23,3999,1
0.23,47.38659576574961,1972,28,3999,1
0.24,47.38659576574961,1968,32,3999,1
0.25,47.38659576574961,1964,36,4000,0
0.26,47.38659576574961,1957,43,4000,0
0.27,47.38659576574961,1942,58,4000,0
0.28,47.38659576574961,1930,70,4000,0
0.29,47.38659576574961,1915,85,4000,0
0.3,47.38659576574961,1899,101,4000,0
0.4,47.38659576574961,1634,366,4000,0
